央视频道,#genre#
CCTV-12,http://221.197.236.192:17514/udp/225.1.1.142:5002$联通RTP
CCTV-12,http://101.66.199.29:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-12,http://101.66.199.118:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-12,http://60.10.139.113:8801/hls/11/index.m3u8$订阅源
CCTV-12,http://101.66.199.194:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-13,http://198.204.228.26/live/cctv13hd.m3u8$订阅源
CCTV-13,http://221.197.236.192:17514/udp/225.1.2.193:5002$联通RTP
CCTV-13,http://101.66.199.29:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-13,http://101.66.199.118:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-13,http://60.10.139.113:8801/hls/12/index.m3u8$订阅源
CCTV-13,http://101.66.199.194:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-14,http://221.197.236.192:17514/udp/225.1.1.144:5002$联通RTP
CCTV-14,http://101.66.199.29:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-14,http://101.66.199.118:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-14,http://60.10.139.113:8801/hls/13/index.m3u8$订阅源
CCTV-14,http://101.66.199.194:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-15,http://198.204.228.26/live/cctv15hd.m3u8$订阅源
CCTV-15,http://221.197.236.192:17514/udp/225.1.2.194:5002$联通RTP
CCTV-15,http://101.66.199.29:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-15,http://101.66.199.118:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-15,http://60.10.139.113:8801/hls/97/index.m3u8$订阅源1
CCTV-15,http://101.66.199.194:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-16,http://221.197.236.192:17514/udp/225.1.2.237:5002$联通RTP
CCTV-17,http://221.197.236.192:17514/udp/225.1.2.52:5002$联通RTP
CCTV-17,http://60.10.139.113:8801/hls/98/index.m3u8$订阅源
CCTV-4K,http://198.204.228.26/live/cctv4k.m3u8$订阅源0
CCTV-4K,http://198.204.240.250:82/live/cctv4k.m3u8$订阅源
CCTV-4K,http://221.197.236.192:17514/udp/225.1.2.245:5002$联通RTP
CCTV-8K,http://198.204.228.26/live/cctv8k.m3u8$订阅源0
CCTV-8K,http://198.204.240.250:82/live/cctv8k.m3u8$订阅源

央视付费频道,#genre#
风云音乐,http://221.197.236.192:17514/udp/225.1.2.176:5002$联通RTP
CHC家庭影院,http://198.204.228.26/live/chcjt.m3u8$订阅源
CHC家庭影院,http://221.197.236.192:17514/udp/225.1.1.213:5002$联通RTP
CHC影迷电影,http://221.197.236.192:17514/udp/225.1.1.214:5002$联通RTP
CHC动作电影,http://198.204.228.26/live/chcdz.m3u8$订阅源
CHC动作电影,http://221.197.236.192:17514/udp/225.1.1.215:5002$联通RTP
央视文化精品,http://221.197.236.192:17514/udp/225.1.2.177:5002$联通RTP
精彩影视,http://221.197.236.192:17514/udp/225.1.1.141:5002$联通RTP
多彩文体,http://221.197.236.192:17514/udp/225.1.1.139:5002$联通RTP
都市剧场,http://221.197.236.192:17514/udp/225.1.1.146:5002$联通RTP
第一剧场,http://221.197.236.192:17514/udp/225.1.2.175:5002$联通RTP
怀旧剧场,http://221.197.236.192:17514/udp/225.1.2.173:5002$联通RTP
风云剧场,http://221.197.236.192:17514/udp/225.1.2.174:5002$联通RTP
风云足球,http://221.197.236.192:17514/udp/225.1.2.168:5002$联通RTP
央视台球,http://221.197.236.192:17514/udp/225.1.2.170:5002$联通RTP
高尔夫网球,http://221.197.236.192:17514/udp/225.1.2.169:5002$联通RTP
世界地理,http://221.197.236.192:17514/udp/225.1.2.171:5002$联通RTP
兵器科技,http://221.197.236.192:17514/udp/225.1.2.166:5002$联通RTP
发现之旅,http://221.197.236.192:17514/udp/225.1.1.183:5002$联通RTP
老故事,http://221.197.236.192:17514/udp/225.1.1.188:5002$联通RTP
老故事,http://60.10.139.113:8801/hls/74/index.m3u8$订阅源
法制天地,http://1.197.204.20:85/tsfile/live/1107_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
环球旅游,http://221.197.236.192:17514/udp/225.1.1.156:5002$上海联通
环球奇观,http://221.197.236.192:17514/udp/225.1.1.197:5002$联通RTP
环球奇观,http://60.10.139.113:8801/hls/75/index.m3u8$订阅源
金鹰纪实,http://221.197.236.192:17514/udp/225.1.1.124:5002$联通RTP
电视指南,http://221.197.236.192:17514/udp/225.1.2.167:5002$联通RTP
电视指南,http://60.10.139.113:8801/hls/64/index.m3u8$订阅源
东方财经,http://221.197.236.192:17514/udp/225.1.1.247:5002$联通RTP
财富天下,http://221.197.236.192:17514/udp/225.1.1.137:5002$联通RTP
重温经典,http://221.197.236.192:17514/udp/225.1.1.188:5002$联通RTP
重温经典,http://60.10.139.113:8801/hls/74/index.m3u8$订阅源

卫视频道,#genre#
天津卫视,http://198.204.228.26/live/tjwshd.m3u8$订阅源
天津卫视,http://221.197.236.192:17514/udp/225.1.1.111:5002$联通RTP
天津卫视,http://60.10.139.113:8801/hls/23/index.m3u8$订阅源
东方卫视,http://221.197.236.192:17514/udp/225.1.2.31:5002$联通RTP
东方卫视,http://112.123.243.37:50085/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
东方卫视,http://101.66.199.29:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
东方卫视,http://101.66.199.118:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
东方卫视,http://60.10.139.113:8801/hls/22/index.m3u8$订阅源
东方卫视,http://101.66.199.194:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
浙江卫视,http://198.204.228.26/live/zjwshd.m3u8$订阅源
浙江卫视,http://221.197.236.192:17514/udp/225.1.1.112:5002$联通RTP
浙江卫视,http://101.66.199.29:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
浙江卫视,http://101.66.199.118:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
浙江卫视,http://60.10.139.113:8801/hls/18/index.m3u8$订阅源
浙江卫视,http://101.66.199.194:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
湖南卫视,http://198.204.228.26/live/hnwshd.m3u8$订阅源
湖南卫视,http://221.197.236.192:17514/udp/225.1.1.114:5002$联通RTP
